Kind,Name,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion,DATE
Public Class,org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,1,1,0,06/02/2005
Public Class,org.jfree.chart.junit.AreaChartTests,24,8,37,06/02/2005
Public Class,org.jfree.chart.junit.BarChart3DTests,24,8,37,06/02/2005
Public Class,org.jfree.chart.junit.BarChartTests,24,8,37,06/02/2005
Public Class,org.jfree.chart.junit.ChartPackageTests,26,1,0,06/02/2005
Public Class,org.jfree.chart.junit.ChartPanelTests,5,4,0,06/02/2005
Public Class,org.jfree.chart.junit.ChartRenderingInfoTests,14,5,0,06/02/2005
Public Class,org.jfree.chart.junit.GanttChartTests,24,10,50,06/02/2005
Public Class,org.jfree.chart.junit.JFreeChartTestSuite,20,2,0,06/02/2005
Public Class,org.jfree.chart.junit.JFreeChartTests,20,8,75,06/02/2005
Public Class,org.jfree.chart.junit.LegendItemCollectionTests,21,5,0,06/02/2005
Public Class,org.jfree.chart.junit.LegendItemTests,20,5,0,06/02/2005
Public Class,org.jfree.chart.junit.LineChart3DTests,24,8,37,06/02/2005
Public Class,org.jfree.chart.junit.LineChartTests,24,8,37,06/02/2005
Public Class,org.jfree.chart.junit.MeterChartTests,13,3,0,06/02/2005
Public Class,org.jfree.chart.junit.PieChart3DTests,15,6,66,06/02/2005
Public Class,org.jfree.chart.junit.PieChartTests,8,5,60,06/02/2005
Public Class,org.jfree.chart.junit.ScatterPlotTests,22,7,42,06/02/2005
Public Class,org.jfree.chart.junit.StackedAreaChartTests,24,8,37,06/02/2005
Public Class,org.jfree.chart.junit.StackedBarChart3DTests,24,8,37,06/02/2005
Public Class,org.jfree.chart.junit.StackedBarChartTests,24,8,37,06/02/2005
Public Class,org.jfree.chart.junit.TimeSeriesChartTests,21,7,42,06/02/2005
Public Class,org.jfree.chart.junit.WaterfallChartTests,21,7,42,06/02/2005
Public Class,org.jfree.chart.junit.XYAreaChartTests,22,7,42,06/02/2005
Public Class,org.jfree.chart.junit.XYBarChartTests,24,7,42,06/02/2005
Public Class,org.jfree.chart.junit.XYLineChartTests,22,7,42,06/02/2005
Public Class,org.jfree.chart.junit.XYStepAreaChartTests,22,7,42,06/02/2005
Public Class,org.jfree.chart.junit.XYStepChartTests,22,7,42,06/02/2005
Public Class,org.jfree.chart.labels.AbstractPieItemLabelGenerator,11,8,59,06/02/2005
