Kind,Name,CountClassBase,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion
Public Abstract Class,org.apache.xerces.impl.dv.xs.TypeValidator,1,3,10,100
Public Abstract Class,org.apache.xerces.impl.xs.identity.IdentityConstraint,2,11,21,86
Public Abstract Class,org.apache.xerces.parsers.AbstractSAXParser,4,48,52,93
Public Abstract Class,org.apache.xerces.parsers.AbstractXMLDocumentParser,4,13,51,95
Public Abstract Class,org.apache.xerces.parsers.BasicParserConfiguration,2,18,22,91
Public Abstract Class,org.apache.xerces.parsers.DTDParser,3,9,29,100
Public Abstract Class,org.apache.xerces.parsers.XMLGrammarParser,1,5,1,100
Public Abstract Class,org.apache.xerces.parsers.XMLParser,1,6,3,75
Public Abstract Class,org.apache.xerces.util.ErrorHandlerProxy,2,4,4,0
Public Abstract Class,org.apache.xml.serialize.BaseMarkupSerializer,8,41,63,92
Public Abstract Class,org.apache.xml.serialize.SerializerFactory,1,14,6,95
Public Abstract Class,xni.parser.AbstractConfiguration,2,19,22,89
Public Class,dom.Counter,1,18,5,67
Public Class,dom.DOM3,3,17,6,95
Public Class,dom.DOMAddLines,1,19,8,75
Public Class,dom.DOMGenerate,1,14,1,0
Public Class,dom.GetElementsByTagName,1,18,5,69
Public Class,dom.Writer,1,21,12,85
Public Class,dom.traversal.IteratorView,2,40,6,72
Public Class,dom.traversal.NameNodeFilter,2,2,5,40
Public Class,dom.traversal.TreeWalkerView,2,40,7,74
Public Class,dom.wrappers.Xerces,4,13,9,66
Public Class,jaxp.DatatypeAPIUsage,1,10,1,0
Public Class,jaxp.InlineSchemaValidator,3,35,12,85
Public Class,jaxp.ParserAPIUsage,1,16,7,71
Public Class,jaxp.SourceValidator,2,29,9,82
Public Class,jaxp.TypeInfoWriter,1,29,17,85
Public Class,org.apache.html.dom.HTMLAnchorElementImpl,2,2,27,100
Public Class,org.apache.html.dom.HTMLAppletElementImpl,2,2,23,100
Public Class,org.apache.html.dom.HTMLAreaElementImpl,2,2,17,100
Public Class,org.apache.html.dom.HTMLBRElementImpl,2,2,3,100
Public Class,org.apache.html.dom.HTMLBaseElementImpl,2,2,5,100
Public Class,org.apache.html.dom.HTMLBaseFontElementImpl,2,2,7,100
Public Class,org.apache.html.dom.HTMLBodyElementImpl,2,2,13,100
Public Class,org.apache.html.dom.HTMLBuilder,2,15,10,65
Public Class,org.apache.html.dom.HTMLButtonElementImpl,3,4,12,100
Public Class,org.apache.html.dom.HTMLDListElementImpl,2,2,3,100
Public Class,org.apache.html.dom.HTMLDOMImplementationImpl,2,5,3,66
Public Class,org.apache.html.dom.HTMLDirectoryElementImpl,2,2,3,100
Public Class,org.apache.html.dom.HTMLDivElementImpl,2,2,3,100
Public Class,org.apache.html.dom.HTMLDocumentImpl,2,30,33,95
Public Class,org.apache.html.dom.HTMLElementImpl,2,8,23,100
Public Class,org.apache.html.dom.HTMLFieldSetElementImpl,3,2,1,100
Public Class,org.apache.html.dom.HTMLFontElementImpl,2,2,7,100
Public Class,org.apache.html.dom.HTMLFormElementImpl,2,4,19,94
Public Class,org.apache.html.dom.HTMLFrameElementImpl,2,2,17,100
Public Class,org.apache.html.dom.HTMLFrameSetElementImpl,2,2,5,100
Public Class,org.apache.html.dom.HTMLHRElementImpl,2,2,9,100
Public Class,org.apache.html.dom.HTMLHeadElementImpl,2,2,3,100
Public Class,org.apache.html.dom.HTMLHeadingElementImpl,2,2,3,100
Public Class,org.apache.html.dom.HTMLHtmlElementImpl,2,2,3,100
Public Class,org.apache.html.dom.HTMLIFrameElementImpl,2,2,21,100
Public Class,org.apache.html.dom.HTMLImageElementImpl,2,2,27,100
Public Class,org.apache.html.dom.HTMLInputElementImpl,3,4,38,100
Public Class,org.apache.html.dom.HTMLIsIndexElementImpl,2,2,3,100
Public Class,org.apache.html.dom.HTMLLIElementImpl,2,2,5,100
Public Class,org.apache.html.dom.HTMLLabelElementImpl,3,2,5,100
Public Class,org.apache.html.dom.HTMLLegendElementImpl,2,2,5,100
Public Class,org.apache.html.dom.HTMLLinkElementImpl,2,2,19,100
Public Class,org.apache.html.dom.HTMLMapElementImpl,2,4,5,80
Public Class,org.apache.html.dom.HTMLMenuElementImpl,2,2,3,100
Public Class,org.apache.html.dom.HTMLMetaElementImpl,2,2,9,100
