FileName,PercentLackOfCohesion-Real,PercentLackOfCohesion-Predicted,CountLineCode-Real,CountLineCode-Predicted,SumCyclomatic-Real,SumCyclomatic-Predicted,CountDeclMethodAll-Real,CountDeclMethodAll-Predicted
org.jfree.data.KeyedObjects.csv,62.0,62.0,151.0,144.0,39.0,37.0,28.0,28.0,
org.jfree.data.KeyedObjects2D.csv,60.0,60.0,252.0,231.0,62.0,57.0,34.0,34.0,
org.jfree.data.KeyedValue.csv,0.0,NaN,3.0,NaN,1.0,NaN,2.0,NaN,
org.jfree.data.KeyedValueComparator.csv,25.0,25.0,81.0,81.0,19.0,19.0,16.0,16.0,
org.jfree.data.KeyedValueComparatorType.csv,66.0,NaN,29.0,29.0,7.0,7.0,16.0,16.0,
org.jfree.data.KeyedValues.csv,0.0,NaN,6.0,NaN,4.0,NaN,6.0,NaN,
org.jfree.data.KeyedValues2D.csv,0.0,NaN,9.0,NaN,7.0,NaN,10.0,NaN,
org.jfree.data.Range.csv,64.0,66.0,161.0,164.0,40.0,41.0,31.0,32.0,
org.jfree.data.RangeInfo.csv,0.0,NaN,5.0,5.0,3.0,3.0,3.0,3.0,
org.jfree.data.resources.DataPackageResources.csv,0.0,NaN,9.0,NaN,1.0,NaN,51.0,NaN,
org.jfree.data.resources.DataPackageResources_de.csv,0.0,NaN,9.0,NaN,1.0,NaN,51.0,NaN,
org.jfree.data.resources.DataPackageResources_es.csv,0.0,NaN,9.0,NaN,1.0,NaN,51.0,NaN,
org.jfree.data.resources.DataPackageResources_fr.csv,0.0,NaN,9.0,NaN,1.0,NaN,51.0,NaN,
org.jfree.data.resources.DataPackageResources_pl.csv,0.0,NaN,9.0,NaN,1.0,NaN,51.0,NaN,
org.jfree.data.time.Day.csv,87.0,87.0,159.0,159.0,34.0,34.0,52.0,52.0,
org.jfree.data.time.DynamicTimeSeriesCollection.csv,91.0,NaN,387.0,387.0,88.0,88.0,78.0,78.0,
org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence.csv,25.0,NaN,18.0,NaN,5.0,NaN,16.0,NaN,
org.jfree.data.time.FixedMillisecond.csv,58.0,58.0,94.0,94.0,24.0,24.0,47.0,47.0,
org.jfree.data.time.Hour.csv,78.0,79.0,175.0,177.0,39.0,39.0,53.0,54.0,
org.jfree.data.time.junit.DataTimePackageTests.csv,0.0,NaN,33.0,33.0,3.0,3.0,15.0,15.0,
org.jfree.data.time.junit.DayTests.csv,0.0,NaN,208.0,211.0,31.0,32.0,37.0,37.0,
org.jfree.data.time.junit.FixedMillisecondTests.csv,0.0,NaN,44.0,41.0,7.0,7.0,18.0,18.0,
org.jfree.data.time.junit.HourTests.csv,0.0,NaN,204.0,206.0,30.0,30.0,37.0,37.0,
org.jfree.data.time.junit.MillisecondTests.csv,0.0,NaN,197.0,200.0,26.0,26.0,33.0,34.0,
org.jfree.data.time.junit.MinuteTests.csv,0.0,NaN,194.0,195.0,26.0,26.0,33.0,33.0,
org.jfree.data.time.junit.MonthTests.csv,90.0,90.0,227.0,229.0,33.0,33.0,37.0,37.0,
org.jfree.data.time.junit.QuarterTests.csv,90.0,90.0,245.0,249.0,36.0,37.0,38.0,39.0,
org.jfree.data.time.junit.SecondTests.csv,0.0,NaN,186.0,188.0,25.0,25.0,32.0,32.0,
org.jfree.data.time.junit.SimpleTimePeriodTests.csv,0.0,NaN,104.0,104.0,11.0,11.0,22.0,22.0,
org.jfree.data.time.junit.TimeSeriesDataItemTests.csv,0.0,NaN,51.0,51.0,7.0,NaN,18.0,NaN,
org.jfree.data.time.junit.TimeSeriesTests.csv,90.0,91.0,534.0,551.0,52.0,55.0,38.0,39.0,
org.jfree.data.time.junit.WeekTests.csv,90.0,91.0,291.0,308.0,31.0,32.0,38.0,39.0,
org.jfree.data.time.junit.YearTests.csv,0.0,NaN,223.0,225.0,33.0,33.0,37.0,37.0,
org.jfree.data.time.Millisecond.csv,75.0,75.0,161.0,163.0,35.0,36.0,48.0,48.0,
org.jfree.data.time.Minute.csv,78.0,78.0,188.0,189.0,38.0,38.0,51.0,51.0,
org.jfree.data.time.Month.csv,74.0,73.0,215.0,215.0,46.0,45.0,54.0,53.0,
org.jfree.data.time.Quarter.csv,79.0,78.0,174.0,172.0,35.0,34.0,52.0,51.0,
org.jfree.data.time.RegularTimePeriod.csv,100.0,100.0,86.0,86.0,26.0,26.0,30.0,30.0,
org.jfree.data.time.Second.csv,75.0,75.0,177.0,177.0,38.0,38.0,49.0,49.0,
org.jfree.data.time.SimpleTimePeriod.csv,70.0,71.0,83.0,83.0,20.0,20.0,21.0,21.0,
org.jfree.data.time.TimePeriod.csv,0.0,NaN,4.0,NaN,2.0,NaN,3.0,3.0,
org.jfree.data.time.TimePeriodAnchor.csv,72.0,72.0,44.0,44.0,11.0,11.0,17.0,17.0,
org.jfree.data.time.TimePeriodFormatException.csv,0.0,NaN,5.0,NaN,1.0,NaN,53.0,NaN,
org.jfree.data.time.TimePeriodValue.csv,66.0,66.0,61.0,62.0,19.0,19.0,21.0,21.0,
org.jfree.data.time.TimePeriodValues.csv,87.0,87.0,245.0,245.0,55.0,55.0,59.0,59.0,
org.jfree.data.time.TimePeriodValuesCollection.csv,77.0,77.0,195.0,191.0,46.0,46.0,60.0,60.0,
org.jfree.data.time.TimeSeries.csv,88.0,88.0,460.0,463.0,108.0,109.0,76.0,76.0,
org.jfree.data.time.TimeSeriesCollection.csv,80.0,80.0,249.0,254.0,64.0,64.0,70.0,70.0,
org.jfree.data.time.TimeSeriesDataItem.csv,66.0,66.0,77.0,77.0,22.0,22.0,21.0,21.0,
org.jfree.data.time.Week.csv,77.0,77.0,273.0,274.0,56.0,56.0,55.0,55.0,
org.jfree.data.time.Year.csv,82.0,80.0,121.0,118.0,28.0,27.0,49.0,48.0,
org.jfree.data.Value.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.data.Values.csv,0.0,NaN,4.0,NaN,2.0,NaN,2.0,NaN,
org.jfree.data.Values2D.csv,0.0,NaN,5.0,NaN,3.0,NaN,3.0,NaN,
