Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getRangeUpperBound,,,,,,,,,,,,,,,,,,,,,,,,,3,15,0,7,2,4,8,2,2,3,5,2,3,2,2,2,1,,,,,,1,,1.14,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getSeriesCount,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,3,1,1,5,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getSeriesKey,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,3,1,1,7,1,1,1,2,1,1,1,1,1,1,,,,,,0,,2.33,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getStartX,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,4,2,2,8,4,1,2,3,2,1,1,1,1,1,,,,,,0,,2,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getStartY,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,3,1,1,8,2,1,1,2,1,1,1,1,1,1,,,,,,0,,2.67,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getX,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,4,2,2,8,4,1,2,3,2,1,1,1,1,1,,,,,,0,,2,,,,,2007-04
Private Method,org.jfree.data.time.DynamicTimeSeriesCollection.getX,,,,,,,,,,,,,,,,,,,,,,,,,7,19,0,12,1,9,7,4,4,4,6,1,5,4,2,4,1,,,,,,1,,0.58,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getY,,,,,,,,,,,,,,,,,,,,,,,,,4,11,0,3,1,1,8,3,1,1,2,1,1,1,1,1,1,,,,,,0,,2.67,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getYValue,,,,,,,,,,,,,,,,,,,,,,,,,5,14,0,4,2,2,10,3,1,2,3,2,1,1,1,1,1,,,,,,0,,2.5,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.invalidateRangeInfo,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,4,1,2,3,2,1,2,3,1,2,1,1,1,1,,,,,,0,,0.75,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.offsetFromNewest,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,3,1,1,7,2,1,1,2,1,1,1,1,1,1,,,,,,0,,2.33,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.offsetFromOldest,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,3,1,1,7,2,1,1,2,1,1,1,1,1,1,,,,,,0,,2.33,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.setPosition,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.setSeriesKey,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,3,1,1,6,1,1,1,2,1,1,1,1,1,1,,,,,,0,,2,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.setTimeBase,,,,,,,,,,,,,,,,,,,,,,,,,5,32,2,19,5,15,11,8,3,11,14,4,10,3,3,3,1,,,,,,2,,0.58,,,,,2007-04
Protected Method,org.jfree.data.time.DynamicTimeSeriesCollection.translateGet,,,,,,,,,,,,,,,,,,,,,,,,,7,18,0,10,2,6,9,1,3,4,7,2,5,3,3,3,1,,,,,,1,,0.9,,,,,2007-04
Protected Method,org.jfree.data.time.DynamicTimeSeriesCollection.wrapOffset,,,,,,,,,,,,,,,,,,,,,,,,,4,17,0,10,2,6,7,1,3,4,7,2,5,3,3,3,1,,,,,,1,,0.7,,,,,2007-04
Public Class,org.jfree.data.time.FixedMillisecond,1,1,1,1,11,0,5,6,2,3,0,,0,1,,,17,1,17,47,0,0,0,17,,235,28,94,29,43,113,,,35,60,28,32,,,,,5,5,5,1,2,3,58,1.2,24,24,24,17,2007-04
Public Constructor,org.jfree.data.time.FixedMillisecond.FixedMillisecond,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,3,1,1,3,3,1,1,2,1,1,1,1,1,1,,,,,,0,,1,,,,,2007-04
Public Constructor,org.jfree.data.time.FixedMillisecond.FixedMillisecond,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,3,1,1,5,3,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2007-04
Public Constructor,org.jfree.data.time.FixedMillisecond.FixedMillisecond,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,3,1,1,5,2,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2007-04
