Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Class,io.realm.internal.Group,1,1,1,0,4,0,3,1,2,14,3,,2,0,,,38,3,40,52,1,3,17,19,,297,55,182,57,93,61,,,90,134,51,83,,,,,5,5,6,4,1,2,72,0.34,42,42,44,27
Public Class,io.realm.internal.IOException,1,1,1,1,2,0,2,0,1,1,0,,0,0,,,4,0,4,52,0,0,0,4,,18,5,13,5,3,0,,,3,8,5,3,,,,,1,1,1,1,4,0,0,0,4,4,4,4
Public Class,io.realm.internal.IllegalMixedTypeException,1,1,1,1,2,0,2,0,1,1,0,,0,0,,,4,0,4,52,0,0,0,4,,18,5,13,5,3,0,,,3,8,5,3,,,,,1,1,1,1,4,0,0,0,4,4,4,4
Public Class,io.realm.internal.ImplicitTransaction,1,1,1,1,4,0,4,0,1,3,0,,0,0,,,7,1,7,59,0,0,1,6,,43,9,34,9,16,1,,,13,23,9,14,,,,,2,2,2,1,2,1,14,0.03,9,9,9,7
Public Class,io.realm.internal.LinkView,0,0,0,0,2,0,1,0,1,5,0,,1,0,,,23,4,24,36,0,10,2,12,,81,15,65,31,22,1,,,36,50,31,19,,,,,2,2,2,1,1,1,79,0.02,13,13,13,12
Public Class,io.realm.internal.Mixed,3,2,3,2,8,0,8,0,1,16,0,,1,2,,,23,1,24,36,0,0,1,23,,246,27,217,34,143,3,,,91,161,36,125,,,,,15,15,15,15,1,3,68,0.01,78,70,80,68
Public Class,io.realm.internal.OutOfMemoryError,1,1,1,1,3,0,3,0,1,1,0,,0,0,,,4,0,4,47,0,0,0,4,,18,4,14,5,4,0,,,4,9,5,4,,,,,1,1,1,1,3,0,0,0,4,4,4,4
Public Class,io.realm.internal.ReadTransaction,1,1,1,1,2,0,2,0,1,3,0,,0,0,,,4,1,4,56,1,0,1,2,,20,5,15,7,4,2,,,5,10,6,4,,,,,1,1,1,1,2,0,25,0.13,4,4,4,4
Public Class,io.realm.internal.Row,0,0,0,0,2,0,1,0,1,11,0,,1,0,,,58,3,59,71,1,2,28,28,,244,72,151,66,52,22,,,75,115,65,50,,,,,3,3,4,1,1,1,80,0.15,38,38,39,31
Public Class,io.realm.internal.SharedGroup,0,0,0,0,3,0,3,0,2,11,0,,2,0,,,38,6,40,52,8,20,2,10,,248,48,188,63,94,13,,,94,136,56,80,,,,,5,5,5,1,1,3,80,0.07,38,38,38,20
Public Class,io.realm.internal.SubtableSchema,0,0,0,0,3,0,3,0,2,4,0,,0,0,,,9,2,9,21,1,1,3,4,,55,10,39,17,14,6,,,19,28,14,14,,,,,2,2,2,1,1,1,44,0.15,8,8,8,6
Public Class,io.realm.internal.Table,0,0,0,0,3,0,2,0,4,29,0,,1,2,,,212,6,213,225,2,7,102,102,,1427,284,849,340,386,296,,,414,589,271,318,,,,,16,8,16,4,1,3,92,0.35,168,160,169,113
Public Class,io.realm.internal.Table.InternalMethods,1,1,1,1,4,0,4,0,1,5,0,,0,0,,,10,0,10,22,0,0,0,10,,70,13,46,11,24,11,,,22,34,11,23,,,,,2,2,2,1,1,1,0,0.24,11,11,11,10
Public Class,io.realm.internal.TableQuery,0,0,0,0,3,0,3,0,2,11,0,,1,2,,,145,5,146,158,0,2,61,83,,669,119,523,157,279,31,,,312,428,157,271,,,,,3,3,3,1,1,2,84,0.06,113,113,114,86
Public Class,io.realm.internal.TableSpec,2,2,2,1,5,0,5,0,1,7,0,,0,0,,,11,1,11,23,0,0,1,10,,127,18,109,32,65,0,,,51,87,29,58,,,,,7,7,7,7,1,2,9,0,22,22,22,19
Public Class,io.realm.internal.TableView,0,0,0,0,3,0,2,1,3,17,0,,1,0,,,145,4,146,158,0,1,70,75,,919,174,472,229,160,275,,,207,317,161,156,,,,,3,3,3,1,1,2,81,0.58,107,107,107,78
Public Class,io.realm.internal.TightDB,2,2,2,1,11,0,9,1,1,23,0,,12,5,,,0,0,12,24,0,4,0,8,,186,18,125,31,80,44,,,56,84,33,51,,,,,4,4,5,3,1,2,93,0.35,25,25,26,14
Public Class,io.realm.internal.Util,0,0,0,0,2,0,2,0,1,5,0,,7,0,,,0,0,7,19,4,0,0,3,,63,10,50,29,11,3,,,16,24,14,10,,,,,2,2,2,1,1,1,0,0.06,5,5,5,4
Public Class,io.realm.internal.Version,1,1,1,0,4,0,3,0,1,6,0,,8,4,,,0,0,8,20,4,0,0,4,,62,10,51,21,26,1,,,25,35,18,17,,,,,5,5,5,1,1,2,87,0.02,8,8,8,4
Public Class,io.realm.internal.WriteTransaction,1,1,1,1,4,0,4,0,1,4,0,,0,0,,,5,2,5,57,1,0,1,3,,34,6,28,9,11,2,,,10,18,8,10,,,,,2,2,2,1,2,1,40,0.07,7,7,7,5
Public Constructor,io.realm.RealmBaseAdapter.RealmBaseAdapter,,,,,,,,,,,,,,,,,,,,,,,,,3,20,1,19,1,13,0,8,8,7,12,2,10,4,4,4,1,,,,,,0,,0,,,,
Public Constructor,io.realm.RealmQuery.RealmQuery,,,,,,,,,,,,,,,,,,,,,,,,,4,18,2,9,2,6,7,9,2,7,9,3,6,2,2,2,1,,,,,,1,,0.78,,,,
Public Constructor,io.realm.RealmQuery.RealmQuery,,,,,,,,,,,,,,,,,,,,,,,,,4,19,3,10,2,7,6,11,2,8,10,3,7,2,2,2,1,,,,,,1,,0.6,,,,
Public Constructor,io.realm.exceptions.RealmException.RealmException,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,,,,
Public Constructor,io.realm.exceptions.RealmIOException.RealmIOException,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,,,,
Public Constructor,io.realm.exceptions.RealmIOException.RealmIOException,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,1,1,0,1,1,0,1,1,1,1,,,,,,0,,0,,,,
Public Constructor,io.realm.exceptions.RealmIOException.RealmIOException,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,,,,
Public Constructor,io.realm.exceptions.RealmIOException.RealmIOException,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,,,,
Public Constructor,io.realm.exceptions.RealmMigrationNeededException.RealmMigrationNeededException,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,,,,
Public Constructor,io.realm.exceptions.RealmMigrationNeededException.RealmMigrationNeededException,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,,,,
Public Constructor,io.realm.internal.Group.Group,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,6,1,4,0,6,1,4,5,1,4,1,1,1,1,,,,,,0,,0,,,,
Public Constructor,io.realm.internal.Group.Group,,,,,,,,,,,,,,,,,,,,,,,,,6,10,1,9,1,7,0,7,2,5,7,1,6,2,2,2,1,,,,,,1,,0,,,,
